Id,Questions,Answers,Inputs,type
1,Print the variable,hello$marhaban$ni hao$hola$bonjour,hello$marhaban$ciao$hola$bonjour,str
2,Write a function that returns the string '12foo4boo when the the following input is given.,12foo4boo,12345,str
3,Print the squared value of the integer,100$25$36$49$64,10$5$6$7$8,int
4,Print the cube value of the given variable,8$27$1000$64$125,2$3$10$4$5,int
5,Print the variable divided by 2,2.0$8.0$5.0$10.0$12.0,4$16$10$20$24,int
6,Print the variable times 2,10$100$50$70,5$50$25$35,int
7,Print the variable times 3,9$27$21$30$33,3$9$7$10$11,int
8,When all the prime numbers smaller than 10000 are ordered from smallest to greatest in which position is the given prime number is?,696,5237,int
9,Find the 100th term of the Fibonacci series. NOTE: Each new term in the Fibonacci sequence is generated by adding the previous two terms. Take the first two terms as 1 and 2.,573147844013817084101,,int
10,Find the difference between the sum of the 4th powers of the first one hundred natural numbers and the 4th power of the sum.,650375455916670,,int
11,What is the smallest positive number that is evenly divisible by all of the numbers from 1 to 30,2329089562800,,int
12,Find the cube root of the sum of the digits in the factorial of the given number.,6,50,int
13,Find the sum of all the multiples of 7 or 9 below 2000.,445566,,int
14,What is the largest prime factor of the given numbers?,349$73$17$461,1047$8395$1190$23972,int
15,Perfect number is a positive integer that is equal to the sum of its divisors less than itself. What is the biggest perfect number smaller than 10000?,8128,,int
16,Sort the given names in the alphabetical order.,"['Aaron', 'Ai', 'Bernice', 'Beverley', 'Buffy', 'Claudette', 'Devorah', 'Edyth', 'Elias', 'Enrique', 'Fay', 'Isabel', 'Issac', 'Kathern', 'Khadijan', 'Lizette', 'Raelene', 'Rutha', 'Sherise', 'Stan']","['Devorah', 'Raelene', 'Beverley', 'Edyth', 'Isabel', 'Stan', 'Issac', 'Aaron', 'Elias', 'Lizette', 'Claudette', 'Bernice', 'Enrique', 'Rutha', 'Fay', 'Khadijah', 'Buffy', 'Kathern', 'Sherise', 'Ai']",list
17,"In cryptography, a Caesar cipher is one of the encryption techniques. In this technique each letter in the text is replaced by the letter which is some fixed number of positions down the alphabet. For example, with the key number 3, A would be replaced by D, B would become E, and so on. (Z would become C) Decode the given word which was encoded by Caesar cipher with the key number 5.",Verselet,Ajwxjqjy,str
18,We call the n-digit numbers pandigital if all the numbers from 1 to n occur only one in the number. For example 231 is a pandigital number. What is the 3rd pandigital prime number?,2341,,int
19,What is the biggest number we can generate by using the four arithmetic functions and the set of numbers which are prime and between 50 and 70.,12780049,,int
20,"Considering natural numbers of the form, x^y, where x < y < 200, what is the maximum digital sum?",2205,,int
21,"A sequence is generated by sorting the numbers which are neither a square nor a cubein the ascending order. The first terms of the sequence are 2, 3, 5, 6, 7, 10, ... What is the 1601th term of the sequence?",1649,,int
22,"A subset with n terms from the set A = {1, 2, 3, ..., 100} is going to be selected such that no two elements, say a and b, of the subset provides the following property:
(a-b) | (a+b)
 What is the maximum value of n?
NOTE: | means 'divides'. For example 5 | 10 is means '5 divides 10' and that is true. ",34,,int
23,"If we take 47, reverse and add, 47 + 74 = 121, which is palindromic. What is the 78th number in natural numbers such that when summed with its reversed gives a palindromic number.",445,,int
24,"In combinatorics, we use notation C(5,2) = 10. And C(n,k) = n!/[(n-k)!*k!] For how many numbers 4 < n < 1000000 the following is satisfied?
C(n,5) < 1000000",39,,int
25,"In how many non-negative 10 digits numbers in base 2, no two 1 are side by side?",6,,int
26,"There are 11 chairs. Thin people cover 1 full chair while slight fatter people cover2 full chairs. According to that, in how many different ways people can sit in? NOTE: Please note that the number of thin or slightly fatter people is not specified.",144,,int
27,"For how many triplet of (m,n,k), 3600 is divisible by the product m*n*k?",11200,,int
28,How many palindromic numbers do we have between 1000 and 2000?,10,,int
29,"In how many different ways the set {1,2,3,4,5,6,7,8,9,10} can be written as the union of 3 disjoint sets such that each of them has at least one element and none of them contains two consecutive numbers?",255,,int
30,"In mathematics and computer science, the floor function is the function that takes as input a real number x, and gives as output the greatest integer less than or equal to x, denoted floor(x). Similarly, the ceiling function maps x to the least integer greater than or equal to x, denoted ceil(x).\nFind the sum of f(√1) + f(√2) + ... + f(√100) when f(k) = floor(k) + ceil(k)",1340,,int